,Execute Script? (Admin Only),Script File Name,Run As UserName,TWGQA2D,successs,error
0,,GB-2313,SystemIntegrationUser,True,False,Script not Executed
5,,GB-2313_1,BillingStatementUser,True,False,Script failed to execute
4,,GB-2313_2,BillingStatementUser,True,False,Script not Executed
3,,GB-2313_3,BillingStatementUser,True,False,Script not Executed
2,,GB-2313_4,BillingStatementUser,True,False,Script not Executed
1,,GB-2313_5,BillingStatementUser,True,False,Script not Executed
6,,GB-2314,BillingStatementUser,True,False,Script not Executed
7,,GB-2314_1,BillingStatementUser,True,False,Script not Executed
8,,GB-2317,SystemIntegrationUser,True,False,Script not Executed
34,,GB-2317_3,BillingStatementUser,True,True,
9,,GB-2318,SystemIntegrationUser,True,False,Script not Executed
10,,GB-2319,BillingStatementUser,True,False,Script not Executed
11,,GB-2320,SystemIntegrationUser,True,False,Script not Executed
12,,GB-2321,SystemIntegrationUser,True,False,Script not Executed
13,,GB-2322,BillingStatementUser,True,False,Script not Executed
14,,GB-2323,SystemIntegrationUser,True,False,Script not Executed
15,,GB-2325,BillingStatementUser,True,False,Script not Executed
16,,GB-2326,BillingStatementUser,True,False,Script not Executed
17,,GB-2327,BillingStatementUser,True,False,Script not Executed
18,,GB-2328,SystemIntegrationUser,True,False,Script not Executed
19,,GB-2329,SystemIntegrationUser,True,False,Script not Executed
23,,GB-2330,BillingStatementUser,True,False,Script not Executed
22,,GB-2330_1,BillingStatementUser,True,False,Script not Executed
21,,GB-2330_2,BillingStatementUser,True,False,Script not Executed
20,,GB-2330_3,BillingStatementUser,True,False,Script not Executed
24,,GB-2331,SystemIntegrationUser,True,False,Script not Executed
25,,GB-2333,SystemIntegrationUser,True,False,Script not Executed
26,,GB-2335,BillingStatementUser,True,False,Script not Executed
27,,GB-2336,SystemIntegrationUser,True,False,Script not Executed
28,,GB-2337,BillingStatementUser,True,False,Script not Executed
29,,GB-2338,BillingStatementUser,True,False,Script not Executed
30,,GB-2339,BillingStatementUser,True,False,Script not Executed
31,,GB-2340,SystemIntegrationUser,True,False,Script not Executed
32,,GB-2341,SystemIntegrationUser,True,False,Script not Executed
33,,GB-2342,BillingStatementUser,True,False,Script not Executed
