,Execute Script? (Admin Only),Script File Name,Run As UserName,TWGQA2D,successs,error
3,True,GB-2313_1,BillingStatementUser,True,True,
18,True,GB-2313_2,BillingStatementUser,True,True,
24,True,GB-2313_3,BillingStatementUser,True,True,
15,True,GB-2313_5,BillingStatementUser,True,True,
5,True,GB-2317,BillingStatementUser,True,True,
21,True,GB-2318,BillingStatementUser,True,True,
0,True,GB-2319,BillingStatementUser,True,True,
27,True,GB-2320,BillingStatementUser,True,True,
22,True,GB-2322,BillingStatementUser,True,True,
6,True,GB-2323,BillingStatementUser,True,True,
32,True,GB-2325,BillingStatementUser,True,True,
29,True,GB-2326,BillingStatementUser,True,True,
30,True,GB-2327,BillingStatementUser,True,True,
12,True,GB-2328,BillingStatementUser,True,True,
1,True,GB-2330,SystemIntegrationUser,True,True,
