Execute Script? (Admin Only),Script File Name,Run As UserName,TWGQA2D,successs,error
True,GB-2313,SystemIntegrationUser,True,False,Script not Executed
True,GB-2313_1,BillingStatementUser,True,False,Script not Executed
True,GB-2313_2,BillingStatementUser,True,False,Script not Executed
True,GB-2313_3,BillingStatementUser,True,False,Script not Executed
True,GB-2313_4,BillingStatementUser,True,False,Script not Executed
True,GB-2313_5,BillingStatementUser,True,False,Script not Executed
True,GB-2314,BillingStatementUser,True,False,Script not Executed
True,GB-2314_1,BillingStatementUser,True,False,Script not Executed
True,GB-2317,BillingStatementUser,True,False,Script not Executed
True,GB-2318,BillingStatementUser,True,False,Script not Executed
True,GB-2319,BillingStatementUser,True,False,Script not Executed
